origin,destination,path,path_count,path_frequency,path_frequency_within_od,total_count,od_frequency,actions_taken,rewards_per_step,total_return,highest_reward_index,highest_reward_value
1,37,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]","[0.8498902916908264, 0.5453458428382874, 0.7919299006462097, 0.6402144432067871, 0.6680951118469238, 0.7511222958564758, 0.6902172565460205, 0.6604552865028381, 0.6995915174484253, 0.6537652611732483, 0.6449146270751953, 0.6189658045768738, 0.6475272178649902, 0.6488983631134033, 0.6351895928382874, 0.6424095034599304, 0.6629042625427246]",11.451436579227448,1,0.8498902916908264
1,40,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_357_323_318_38_40,10,0.001016880211511084,0.9090909090909091,11,0.0011185682326621924,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(6)]","[0.7973785400390625, 0.45325011014938354, 0.7270647287368774, 0.594004213809967, 0.636237621307373, 0.716049313545227, 0.6571535468101501, 0.5770912170410156, 0.672538161277771, 0.639883279800415, 0.5855023860931396, 0.6134706139564514, 0.5879731774330139, 0.610533595085144, 0.651837944984436, 0.5522066950798035, 0.4333055913448334, 0.6360100507736206, 0.3086812496185303, 0.469863623380661, 0.8668472170829773, 0.7073544263839722, 0.6020985841751099]",14.096335887908936,21,0.8668472170829773
1,40,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_36_373_285_366_301_40,1,0.0001016880211511084,0.09090909090909091,11,0.0011185682326621924,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(7), np.int64(0), np.int64(7), np.int64(0)]","[0.7973785400390625, 0.45325011014938354, 0.7270647287368774, 0.594004213809967, 0.636237621307373, 0.716049313545227, 0.6571535468101501, 0.5770912170410156, 0.672538161277771, 0.639883279800415, 0.5855023860931396, 0.6134706139564514, 0.5879731774330139, 0.610533595085144, 0.651837944984436, 0.5522066950798035, 0.19269335269927979, 0.7522478103637695, 0.2277546525001526, 0.5035555362701416, 0.2471233308315277, 0.7317543029785156]",12.727304130792618,1,0.7973785400390625
1,54,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]","[0.819785475730896, 0.5353713035583496, 0.7846279144287109, 0.6450923681259155, 0.6762211918830872, 0.7534075975418091, 0.6999748349189758, 0.6565384268760681, 0.6945059299468994, 0.6617853045463562, 0.6466065049171448, 0.6253451704978943, 0.6497099995613098, 0.6500924229621887, 0.6309232115745544, 0.6227810978889465, 0.6068248748779297, 0.7793654203414917]",12.138959050178528,1,0.819785475730896
1,58,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_53_55_58,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(6)]","[0.5727723836898804, 0.47903138399124146, 0.7610687017440796, 0.6048350930213928, 0.6297849416732788, 0.7366584539413452, 0.6542757749557495, 0.5799555778503418, 0.6962127089500427, 0.6133109927177429, 0.5833727717399597, 0.6098392605781555, 0.5163527727127075, 0.6087034344673157, 0.6501519083976746, 0.5895541906356812, 0.5761325359344482, 0.19305193424224854, 0.4507715106010437, 0.3250569701194763]",11.430893301963806,3,0.7610687017440796
1,70,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_70,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]","[0.7207444310188293, 0.4520370364189148, 0.7355992794036865, 0.6107240319252014, 0.6625020503997803, 0.7246100306510925, 0.671710193157196, 0.5972621440887451, 0.6862927079200745, 0.6634528040885925, 0.6277427077293396, 0.6463390588760376, 0.6086614727973938, 0.629910409450531, 0.6373100876808167, 0.5552349090576172, 0.6187464594841003, 0.6929044723510742, 0.6582380533218384, 0.5241122245788574, 0.6527045369148254, 0.26788026094436646]",13.644719362258911,3,0.7355992794036865
1,71,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]","[0.7735987305641174, 0.4851871430873871, 0.7524402141571045, 0.6309995055198669, 0.6856881380081177, 0.7436683773994446, 0.6942063570022583, 0.6223548054695129, 0.6924738883972168, 0.7044848203659058, 0.6574478149414062, 0.6628819108009338, 0.6511166095733643, 0.6638626456260681, 0.6381109356880188, 0.577951192855835, 0.6419209837913513, 0.718454897403717, 0.664704442024231, 0.5333130359649658, 0.6927638649940491, 0.7755787968635559]",14.663209110498428,22,0.7755787968635559
1,77,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_77,4,0.0004067520846044336,0.8,5,0.000508440105755542,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]","[0.7691168785095215, 0.4135207533836365, 0.6961387991905212, 0.5983222723007202, 0.6572226881980896, 0.7176196575164795, 0.6630237698554993, 0.569033682346344, 0.6742223501205444, 0.6882917284965515, 0.6268342137336731, 0.6731934547424316, 0.6299120187759399, 0.6545377373695374, 0.6430549621582031, 0.5807246565818787, 0.6532022953033447, 0.6958131194114685, 0.6503579616546631, 0.5205069184303284, 0.6812440752983093, 0.6666415929794312, 0.5928374528884888, 0.6516724228858948, 0.2653570771217346]",15.632402539253235,1,0.7691168785095215
1,77,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_357_322_324_341_342_71_345_282_77,1,0.0001016880211511084,0.2,5,0.000508440105755542,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(6), np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]","[0.7691168785095215, 0.4135207533836365, 0.6961387991905212, 0.5983222723007202, 0.6572226881980896, 0.7176196575164795, 0.6630237698554993, 0.569033682346344, 0.6742223501205444, 0.6882917284965515, 0.6268342137336731, 0.6731934547424316, 0.6299120187759399, 0.6545377373695374, 0.6430549621582031, 0.5807246565818787, 0.6532022953033447, 0.6958131194114685, 0.17389200627803802, 0.017641376703977585, 0.9803286790847778, 0.21086302399635315, 0.6812440752983093, 0.6666415929794312, 0.5928374528884888, 0.6516724228858948, 0.2653570771217346]",15.84426274523139,21,0.9803286790847778
1,78,1_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_78,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(7), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]","[0.7738693356513977, 0.4228495657444, 0.7038704752922058, 0.6055362820625305, 0.6786764860153198, 0.7277637124061584, 0.6845458745956421, 0.5762150287628174, 0.6963542699813843, 0.7097423672676086, 0.6509587168693542, 0.6810186505317688, 0.6497129797935486, 0.6843218207359314, 0.6503331065177917, 0.5992479920387268, 0.6648662686347961, 0.7129250764846802, 0.6566899418830872, 0.5077759027481079, 0.6967954039573669, 0.6760969758033752, 0.6022288799285889, 0.6559188961982727, 0.7892144918441772]",16.45752850174904,25,0.7892144918441772
